エクスポート日時(UTC),エクスポート日時(JST),リポジトリ名,フルネーム,説明,ステータス,活動種別,最終活動からの日数,スター数,フォーク数,ウォッチャー数,未解決Issue数,サイズ,使用言語,ライセンス,トピック,アーカイブ状態,公開状態,デフォルトブランチ,Issues有効,Wiki有効,Projects有効,ホームページ,作成日,最終更新日,最終Push日,Issue最終更新日,最新リリース,URL
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,kmg-core,KenichiroArai/kmg-core,KMGコア。KMGシリーズの核になるプロジェクトです。フレームワークなどの依存関係が少ないです。,頻繁に更新,Issue更新,4,0,0,0,4,1 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2021-11-27,2025-10-28,2025-11-10,2025-11-10,v0.2.2 (2025-10-28),https://github.com/KenichiroArai/kmg-core
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,kmg-fund,KenichiroArai/kmg-fund,KMG基盤。KMGシリーズの基盤になるプロジェクトです。Spring Bootフレームワークをベースにしている。,定期的に更新,Issue更新,11,0,0,0,1,613 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-02-06,2025-10-27,2025-11-03,2025-11-03,v0.2.1 (2025-10-27),https://github.com/KenichiroArai/kmg-fund
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,kmg-jrnl,KenichiroArai/kmg-jrnl,KMG記録。jrnlは「journal」の略。KMGシリーズの記録を行うプロジェクトです。,時々更新,Push,43,0,0,0,0,24 KB,Shell,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-04-14,2025-09-30,2025-10-01,2025-09-09,リリースなし,https://github.com/KenichiroArai/kmg-jrnl
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,basic-to-junior-learning,KenichiroArai/basic-to-junior-learning,小学の教科書レベル～中学受験レベル～中学の教科書レベル～高校受験レベルの学習を管理するプロジェクトである。,頻繁に更新,Issue更新,0,0,0,0,23,1 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-09-05,2025-09-17,2025-09-05,2025-11-14,リリースなし,https://github.com/KenichiroArai/basic-to-junior-learning
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,Zenn,KenichiroArai/Zenn,説明なし,時々更新,Push,102,0,0,0,0,48 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-04-27,2025-08-04,2025-08-04,なし,リリースなし,https://github.com/KenichiroArai/Zenn
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,.cursor,KenichiroArai/.cursor,.cursorの設定ファイル,時々更新,Issue更新,105,0,0,0,0,20 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-01-27,2025-08-01,2025-08-01,2025-08-01,リリースなし,https://github.com/KenichiroArai/.cursor
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,gemini-cli,KenichiroArai/gemini-cli,説明なし,時々更新,Push,121,0,0,0,0,0 KB,不明,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-07-15,2025-07-15,2025-07-15,なし,リリースなし,https://github.com/KenichiroArai/gemini-cli
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,sample-devcontainer-hotreload,KenichiroArai/sample-devcontainer-hotreload,説明なし,時々更新,Push,130,0,0,0,0,187 KB,JavaScript,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-07-06,2025-07-06,2025-07-06,なし,リリースなし,https://github.com/KenichiroArai/sample-devcontainer-hotreload
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,nextjs-boilerplate,KenichiroArai/nextjs-boilerplate,説明なし,更新が少ない,Push,218,0,0,0,0,25 KB,TypeScript,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,いいえ,はい,https://nextjs-boilerplate-rho-pink-64.vercel.app,2025-04-10,2025-04-10,2025-04-10,なし,リリースなし,https://github.com/KenichiroArai/nextjs-boilerplate
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,DictOpeProj,KenichiroArai/DictOpeProj,説明なし,更新が少ない,Push,262,0,0,0,0,1 KB,不明,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-02-25,2025-02-25,2025-02-25,なし,リリースなし,https://github.com/KenichiroArai/DictOpeProj
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,directory-operation-parallel-execution-tool,KenichiroArai/directory-operation-parallel-execution-tool,ディレクトリ操作並行実行ツール,更新が少ない,Issue更新,266,0,0,0,0,337 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-01-13,2025-02-21,2025-02-21,2025-02-21,リリースなし,https://github.com/KenichiroArai/directory-operation-parallel-execution-tool
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,sample-java-simple-releases-packages,KenichiroArai/sample-java-simple-releases-packages,シンプルな Java で GitHub Releases と Packages を試すサンプルプロジェクトです。,更新が少ない,Push,269,0,0,0,0,13 KB,Batchfile,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-02-17,2025-02-17,2025-02-17,2025-02-17,v0.1.0 (2025-02-17),https://github.com/KenichiroArai/sample-java-simple-releases-packages
